url_path,views_total,views_unique
/floneum/floneum,840,414
/floneum/floneum/tree/main/interfaces/kalosm,498,180
/floneum/floneum/tree/main/interfaces/kalosm/examples,261,67
/floneum/floneum/tree/main/floneum/floneum,145,67
/floneum/floneum/tree/main/interfaces,126,34
/floneum/floneum/issues,114,45
/floneum/floneum/tree/main,106,55
/floneum/floneum/releases/tag/v0.2.0,99,55
/floneum/floneum/blob/main/interfaces/kalosm/examples/axum.rs,86,22
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,78,42
