url_path,views_total,views_unique
/floneum/floneum,370,196
/floneum/floneum/tree/main/interfaces/kalosm,216,60
/floneum/floneum/releases/tag/v0.2.0,143,108
/floneum/floneum/tree/main/floneum/floneum,129,43
/floneum/floneum/tree/main/interfaces,53,10
/floneum/floneum/blob/main/interfaces/kalosm-language/src/tool/mod.rs,50,19
/floneum/floneum/tree/main/interfaces/kalosm/examples,49,14
/floneum/floneum/tree/main,44,23
/floneum/floneum/tree/main/floneum,42,13
/floneum/floneum/blob/main/interfaces/kalosm/examples/ocr.rs,40,14
