url_path,views_total,views_unique
/floneum/floneum,516,228
/floneum/floneum/tree/main/interfaces/kalosm,263,67
/floneum/floneum/releases/tag/v0.2.0,259,179
/floneum/floneum/tree/main/floneum/floneum,182,54
/floneum/floneum/tree/main/models,66,13
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,57,20
/floneum/floneum/tree/main/floneum,56,19
/floneum/floneum/tree/main/interfaces/kalosm/examples,55,16
/floneum/floneum/stargazers,55,1
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,51,22
