url_path,views_total,views_unique
/floneum/floneum,331,189
/floneum/floneum/tree/main/interfaces/kalosm,249,56
/floneum/floneum/releases/tag/v0.2.0,193,92
/floneum/floneum/tree/main/floneum/floneum,141,39
/floneum/floneum/tree/main/interfaces/kalosm/examples,123,23
/floneum/floneum/tree/main/floneum,76,20
/floneum/floneum/tree/main/interfaces,45,11
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,42,12
/floneum/floneum/blob/main/interfaces/kalosm-language/src/tool/mod.rs,41,19
/floneum/floneum/tree/main/models,39,9
