url_path,views_total,views_unique
/floneum/floneum,1406,754
/floneum/floneum/tree/main/interfaces/kalosm,1266,302
/floneum/floneum/tree/main/interfaces/kalosm/examples,811,135
/floneum/floneum/tree/main/floneum/floneum,391,130
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,223,86
/floneum/floneum/tree/main/interfaces,221,50
/floneum/floneum/tree/main,197,108
/floneum/floneum/issues,193,70
/floneum/floneum/tree/main/models,153,47
/floneum/floneum/blob/main/interfaces/kalosm/Cargo.toml,151,50
