url_path,views_total,views_unique
/floneum/floneum,1427,761
/floneum/floneum/tree/main/interfaces/kalosm,1249,308
/floneum/floneum/tree/main/interfaces/kalosm/examples,799,135
/floneum/floneum/tree/main/floneum/floneum,390,132
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,228,90
/floneum/floneum/tree/main/interfaces,223,52
/floneum/floneum/issues,200,70
/floneum/floneum/tree/main,197,109
/floneum/floneum/blob/main/interfaces/kalosm/Cargo.toml,154,53
/floneum/floneum/tree/main/models,151,46
