url_path,views_total,views_unique
/floneum/floneum/tree/master/interfaces/kalosm,297,71
/floneum/floneum,290,137
/floneum/floneum/tree/master/floneum/floneum,130,43
/floneum/floneum/tree/master/models,72,20
/floneum/floneum/tree/master/interfaces,67,16
/floneum/floneum/tree/master/floneum,63,18
/floneum/floneum/tree/master,54,38
/floneum/floneum/tree/master/interfaces/kalosm/examples,51,11
/floneum/floneum/commits/master,47,10
/floneum/floneum/blob/master/interfaces/kalosm/examples/ocr.rs,44,16
