url_path,views_total,views_unique
/floneum/floneum,553,233
/floneum/floneum/tree/main/interfaces/kalosm,293,70
/floneum/floneum/releases/tag/v0.2.0,262,186
/floneum/floneum/tree/main/floneum/floneum,202,52
/floneum/floneum/tree/main/interfaces/kalosm/examples,139,16
/floneum/floneum/stargazers,67,1
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,62,27
/floneum/floneum/tree/main/floneum,59,20
/floneum/floneum/issues,58,27
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat-phi-3.rs,56,11
