url_path,views_total,views_unique
/floneum/floneum,321,175
/floneum/floneum/tree/main/interfaces/kalosm,301,65
/floneum/floneum/tree/main/interfaces/kalosm/examples,180,24
/floneum/floneum/releases/tag/v0.2.0,137,55
/floneum/floneum/tree/main/floneum/floneum,126,29
/floneum/floneum/tree/main/floneum,63,16
/floneum/floneum/tree/main/interfaces,61,17
/floneum/floneum/tree/main/models,58,14
/floneum/floneum/tree/main/interfaces/kalosm/src,50,9
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,46,12
