time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-01 00:00:00+00:00,43,18,231,20
2024-01-02 00:00:00+00:00,15,7,142,21
2024-01-03 00:00:00+00:00,4,3,195,29
2024-01-04 00:00:00+00:00,4,4,317,19
2024-01-05 00:00:00+00:00,1,1,20,10
2024-01-06 00:00:00+00:00,4,4,117,13
2024-01-07 00:00:00+00:00,4,4,174,14
2024-01-08 00:00:00+00:00,7,7,141,20
2024-01-09 00:00:00+00:00,9,8,188,26
2024-01-10 00:00:00+00:00,5,4,280,32
2024-01-11 00:00:00+00:00,13,8,181,27
2024-01-12 00:00:00+00:00,32,12,309,28
2024-01-13 00:00:00+00:00,33,16,514,24
2024-01-14 00:00:00+00:00,20,9,84,17
