url_path,views_total,views_unique
/floneum/floneum,283,162
/floneum/floneum/tree/main/interfaces/kalosm,218,54
/floneum/floneum/tree/main/interfaces/kalosm/examples,104,22
/floneum/floneum/tree/main/floneum/floneum,96,37
/floneum/floneum/releases/tag/v0.2.0,80,47
/floneum/floneum/blob/main/interfaces/kalosm/examples/ocr.rs,44,13
/floneum/floneum/issues,41,18
/floneum/floneum/tree/main/models,40,15
/floneum/floneum/tree/main,35,24
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,31,8
