url_path,views_total,views_unique
/floneum/floneum/tree/master/interfaces/kalosm,261,71
/floneum/floneum,229,125
/floneum/floneum/tree/master/floneum/floneum,126,37
/floneum/floneum/tree/master,54,29
/floneum/floneum/tree/master/interfaces/kalosm/examples,53,12
/floneum/floneum/releases/tag/v0.2.0,41,28
/floneum/floneum/tree/master/interfaces,41,12
/floneum/floneum/tree/master/floneum,39,11
/floneum/floneum/tree/master/models,33,13
/floneum/floneum/blob/master/interfaces/kalosm/examples/ocr.rs,29,10
