url_path,views_total,views_unique
/floneum/floneum,874,428
/floneum/floneum/tree/main/interfaces/kalosm,556,189
/floneum/floneum/tree/main/interfaces/kalosm/examples,332,74
/floneum/floneum/tree/main/floneum/floneum,173,75
/floneum/floneum/tree/main/interfaces,128,37
/floneum/floneum/tree/main,120,64
/floneum/floneum/issues,114,46
/floneum/floneum/releases/tag/v0.2.0,103,55
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,84,43
/floneum/floneum/blob/main/interfaces/kalosm/examples/axum.rs,83,20
