url_path,views_total,views_unique
/floneum/floneum,530,234
/floneum/floneum/tree/main/interfaces/kalosm,306,70
/floneum/floneum/releases/tag/v0.2.0,245,175
/floneum/floneum/tree/main/floneum/floneum,193,48
/floneum/floneum/tree/main/interfaces/kalosm/examples,138,15
/floneum/floneum/stargazers,74,1
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,60,26
/floneum/floneum/issues,57,28
/floneum/floneum/tree/main,57,25
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,55,18
