time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-12 00:00:00+00:00,16,5,147,32
2024-08-13 00:00:00+00:00,68,6,336,35
2024-08-14 00:00:00+00:00,21,6,157,36
2024-08-15 00:00:00+00:00,2,2,184,46
2024-08-16 00:00:00+00:00,10,5,177,32
2024-08-17 00:00:00+00:00,5,5,317,22
2024-08-18 00:00:00+00:00,25,7,154,29
2024-08-19 00:00:00+00:00,7,5,146,32
2024-08-20 00:00:00+00:00,17,7,159,33
2024-08-21 00:00:00+00:00,56,8,226,40
2024-08-22 00:00:00+00:00,5,4,233,55
2024-08-23 00:00:00+00:00,2,2,184,36
2024-08-24 00:00:00+00:00,22,5,239,22
2024-08-25 00:00:00+00:00,2,1,141,23
