time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-20 00:00:00+00:00,8,8,205,37
2024-05-21 00:00:00+00:00,18,12,149,31
2024-05-22 00:00:00+00:00,46,18,231,55
2024-05-23 00:00:00+00:00,10,9,288,66
2024-05-24 00:00:00+00:00,8,8,325,66
2024-05-25 00:00:00+00:00,8,8,536,36
2024-05-26 00:00:00+00:00,17,9,179,35
2024-05-27 00:00:00+00:00,97,33,352,43
2024-05-28 00:00:00+00:00,17,7,391,57
2024-05-29 00:00:00+00:00,37,19,431,65
2024-05-30 00:00:00+00:00,36,10,592,53
2024-05-31 00:00:00+00:00,40,19,188,34
2024-06-01 00:00:00+00:00,9,5,173,36
2024-06-02 00:00:00+00:00,33,17,157,43
