time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-11 00:00:00+00:00,37,6,274,47
2024-07-12 00:00:00+00:00,35,7,185,29
2024-07-13 00:00:00+00:00,119,6,227,25
2024-07-14 00:00:00+00:00,66,9,278,27
2024-07-15 00:00:00+00:00,17,6,139,28
2024-07-16 00:00:00+00:00,3,3,379,25
2024-07-17 00:00:00+00:00,8,7,439,34
2024-07-18 00:00:00+00:00,4,3,201,45
2024-07-19 00:00:00+00:00,25,9,213,27
2024-07-20 00:00:00+00:00,3,2,84,27
2024-07-21 00:00:00+00:00,51,5,97,19
2024-07-22 00:00:00+00:00,4,3,214,30
2024-07-23 00:00:00+00:00,4,3,152,33
2024-07-24 00:00:00+00:00,20,6,118,31
