time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-03 00:00:00+00:00,37,8,155,38
2024-07-04 00:00:00+00:00,6,6,213,31
2024-07-05 00:00:00+00:00,37,5,301,34
2024-07-06 00:00:00+00:00,21,2,271,27
2024-07-07 00:00:00+00:00,7,6,192,26
2024-07-08 00:00:00+00:00,2,2,101,36
2024-07-09 00:00:00+00:00,5,4,76,28
2024-07-10 00:00:00+00:00,26,3,414,47
2024-07-11 00:00:00+00:00,37,6,274,47
2024-07-12 00:00:00+00:00,35,7,185,29
2024-07-13 00:00:00+00:00,119,6,227,25
2024-07-14 00:00:00+00:00,66,9,278,27
2024-07-15 00:00:00+00:00,17,6,139,28
2024-07-16 00:00:00+00:00,3,3,371,24
