time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-27 00:00:00+00:00,20.0,6.0,156,34
2024-08-28 00:00:00+00:00,30.0,7.0,283,38
2024-08-29 00:00:00+00:00,3.0,3.0,110,32
2024-08-30 00:00:00+00:00,8.0,7.0,446,37
2024-08-31 00:00:00+00:00,3.0,3.0,129,15
2024-09-01 00:00:00+00:00,29.0,8.0,248,32
2024-09-02 00:00:00+00:00,7.0,7.0,245,24
2024-09-03 00:00:00+00:00,7.0,4.0,530,36
2024-09-04 00:00:00+00:00,,,309,35
2024-09-05 00:00:00+00:00,23.0,7.0,205,36
2024-09-06 00:00:00+00:00,2.0,2.0,244,36
2024-09-07 00:00:00+00:00,1.0,1.0,86,19
2024-09-08 00:00:00+00:00,11.0,4.0,88,18
2024-09-09 00:00:00+00:00,5.0,4.0,105,30
