time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-22 00:00:00+00:00,4,4,118,30
2024-06-23 00:00:00+00:00,36,9,59,22
2024-06-24 00:00:00+00:00,40,11,176,31
2024-06-25 00:00:00+00:00,29,9,305,43
2024-06-26 00:00:00+00:00,45,5,287,38
2024-06-27 00:00:00+00:00,77,12,221,39
2024-06-28 00:00:00+00:00,2,2,205,40
2024-06-29 00:00:00+00:00,15,4,303,32
2024-06-30 00:00:00+00:00,45,10,457,29
2024-07-01 00:00:00+00:00,100,13,302,35
2024-07-02 00:00:00+00:00,20,3,231,31
2024-07-03 00:00:00+00:00,37,8,155,38
2024-07-04 00:00:00+00:00,6,6,213,31
2024-07-05 00:00:00+00:00,34,4,292,33
