url_path,views_total,views_unique
/floneum/floneum,431,198
/floneum/floneum/tree/main/interfaces/kalosm,282,76
/floneum/floneum/releases/tag/v0.2.0,190,135
/floneum/floneum/tree/main/floneum/floneum,167,45
/floneum/floneum/tree/main/interfaces/kalosm/examples,145,15
/floneum/floneum/stargazers,63,1
/floneum/floneum/tree/main,54,28
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,47,20
/floneum/floneum/tree/main/interfaces,47,10
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat-phi-3.rs,46,8
