url_path,views_total,views_unique
/floneum/floneum,476,212
/floneum/floneum/tree/main/interfaces/kalosm,289,73
/floneum/floneum/releases/tag/v0.2.0,232,157
/floneum/floneum/tree/main/floneum/floneum,190,49
/floneum/floneum/tree/main/interfaces/kalosm/examples,150,14
/floneum/floneum/stargazers,81,1
/floneum/floneum/tree/main,58,30
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,53,24
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat-phi-3.rs,50,10
/floneum/floneum/blob/main/interfaces/kalosm-language/src/tool/mod.rs,49,21
