time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-07 00:00:00+00:00,4,4,174,14
2024-01-08 00:00:00+00:00,7,7,141,20
2024-01-09 00:00:00+00:00,9,8,188,26
2024-01-10 00:00:00+00:00,5,4,280,32
2024-01-11 00:00:00+00:00,13,8,181,27
2024-01-12 00:00:00+00:00,32,12,309,28
2024-01-13 00:00:00+00:00,33,16,514,24
2024-01-14 00:00:00+00:00,21,10,159,17
2024-01-15 00:00:00+00:00,10,9,187,22
2024-01-16 00:00:00+00:00,5,5,358,35
2024-01-17 00:00:00+00:00,3,3,185,25
2024-01-18 00:00:00+00:00,5,5,81,25
2024-01-19 00:00:00+00:00,2,2,314,19
2024-01-20 00:00:00+00:00,4,4,164,13
