url_path,views_total,views_unique
/floneum/floneum,1189,651
/floneum/floneum/tree/main/interfaces/kalosm,1104,254
/floneum/floneum/tree/main/interfaces/kalosm/examples,736,121
/floneum/floneum/tree/main/floneum/floneum,377,127
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,194,69
/floneum/floneum/tree/main/interfaces,176,43
/floneum/floneum/tree/main,169,97
/floneum/floneum/issues,160,60
/floneum/floneum/blob/main/interfaces/kalosm/Cargo.toml,151,50
/floneum/floneum/tree/main/models,145,40
