url_path,views_total,views_unique
/floneum/floneum,1233,672
/floneum/floneum/tree/main/interfaces/kalosm,1185,260
/floneum/floneum/tree/main/interfaces/kalosm/examples,778,124
/floneum/floneum/tree/main/floneum/floneum,393,128
/floneum/floneum/tree/main/interfaces,215,48
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,204,74
/floneum/floneum/tree/main,183,103
/floneum/floneum/issues,170,60
/floneum/floneum/blob/main/interfaces/kalosm/Cargo.toml,154,49
/floneum/floneum/tree/main/models,151,42
