url_path,views_total,views_unique
/floneum/floneum/tree/master/interfaces/kalosm,619,155
/floneum/floneum,581,304
/floneum/floneum/tree/master/interfaces/kalosm/examples,155,25
/floneum/floneum/tree/master/interfaces,133,27
/floneum/floneum/tree/master/models,99,28
/floneum/floneum/tree/master,90,49
/floneum/floneum/tree/master/floneum,70,19
/floneum/floneum/tree/master/interfaces/kalosm/src,62,18
/floneum/floneum/tree/master/interfaces/kalosm-language/src,61,11
/floneum/floneum/tree/master/kalosm,59,23
