url_path,views_total,views_unique
/floneum/floneum,329,190
/floneum/floneum/tree/main/interfaces/kalosm,236,74
/floneum/floneum/releases/tag/v0.2.0,233,150
/floneum/floneum/tree/main/floneum,91,23
/floneum/floneum/tree/main/floneum/floneum,83,30
/floneum/floneum/tree/main,50,34
/floneum/floneum/tree/main/floneum/floneum/src,44,14
/floneum/floneum/tree/main/interfaces,42,11
/floneum/floneum/blob/main/interfaces/kalosm/examples/ocr.rs,41,14
/floneum/floneum/tree/main/interfaces/kalosm/examples,31,12
