time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-11 00:00:00+00:00,13,8,181,27
2024-01-12 00:00:00+00:00,32,12,309,28
2024-01-13 00:00:00+00:00,33,16,514,24
2024-01-14 00:00:00+00:00,21,10,159,17
2024-01-15 00:00:00+00:00,10,9,187,22
2024-01-16 00:00:00+00:00,5,5,358,35
2024-01-17 00:00:00+00:00,3,3,185,25
2024-01-18 00:00:00+00:00,5,5,81,25
2024-01-19 00:00:00+00:00,2,2,314,19
2024-01-20 00:00:00+00:00,5,5,214,14
2024-01-21 00:00:00+00:00,1,1,133,12
2024-01-22 00:00:00+00:00,24,10,251,24
2024-01-23 00:00:00+00:00,71,23,472,31
2024-01-24 00:00:00+00:00,40,16,321,23
