url_path,views_total,views_unique
/floneum/floneum/tree/master/interfaces/kalosm,424,83
/floneum/floneum,277,142
/floneum/floneum/tree/master/floneum/floneum,111,37
/floneum/floneum/tree/master/interfaces/kalosm/examples,100,19
/floneum/floneum/tree/master/interfaces,87,16
/floneum/floneum/tree/master/models,56,16
/floneum/floneum/commits/master,53,11
/floneum/floneum/blob/master/interfaces/kalosm/examples/ocr.rs,51,18
/floneum/floneum/tree/master,50,34
/floneum/floneum/tree/master/kalosm,48,16
