url_path,views_total,views_unique
/floneum/floneum/tree/master/interfaces/kalosm,324,77
/floneum/floneum,302,138
/floneum/floneum/tree/master/floneum/floneum,128,43
/floneum/floneum/tree/master/models,78,21
/floneum/floneum/tree/master/interfaces,73,19
/floneum/floneum/tree/master/floneum,63,18
/floneum/floneum/tree/master/interfaces/kalosm/examples,60,13
/floneum/floneum/tree/master,57,39
/floneum/floneum/commits/master,50,11
/floneum/floneum/blob/master/interfaces/kalosm/examples/ocr.rs,45,17
