time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-11 00:00:00+00:00,9,9,191,39
2024-06-12 00:00:00+00:00,10,7,111,38
2024-06-13 00:00:00+00:00,8,7,344,33
2024-06-14 00:00:00+00:00,10,7,223,49
2024-06-15 00:00:00+00:00,2,2,70,25
2024-06-16 00:00:00+00:00,21,5,112,28
2024-06-17 00:00:00+00:00,35,12,103,25
2024-06-18 00:00:00+00:00,9,7,199,40
2024-06-19 00:00:00+00:00,11,9,160,37
2024-06-20 00:00:00+00:00,12,9,185,40
2024-06-21 00:00:00+00:00,7,7,103,35
2024-06-22 00:00:00+00:00,4,4,118,30
2024-06-23 00:00:00+00:00,36,9,59,22
2024-06-24 00:00:00+00:00,39,10,158,28
