url_path,views_total,views_unique
/floneum/floneum,476,217
/floneum/floneum/tree/main/interfaces/kalosm,287,66
/floneum/floneum/releases/tag/v0.2.0,234,161
/floneum/floneum/tree/main/floneum/floneum,167,44
/floneum/floneum/tree/main/interfaces/kalosm/examples,136,15
/floneum/floneum/stargazers,75,1
/floneum/floneum/blob/main/interfaces/kalosm/examples/tools.rs,53,24
/floneum/floneum/tree/main,51,22
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat-phi-3.rs,47,10
/floneum/floneum/issues,45,25
