time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-20 00:00:00+00:00,17,7,159,33
2024-08-21 00:00:00+00:00,56,8,226,40
2024-08-22 00:00:00+00:00,5,4,233,55
2024-08-23 00:00:00+00:00,2,2,184,36
2024-08-24 00:00:00+00:00,22,5,239,22
2024-08-25 00:00:00+00:00,4,2,142,24
2024-08-26 00:00:00+00:00,5,5,405,38
2024-08-27 00:00:00+00:00,20,6,156,34
2024-08-28 00:00:00+00:00,30,7,283,38
2024-08-29 00:00:00+00:00,3,3,110,32
2024-08-30 00:00:00+00:00,8,7,446,37
2024-08-31 00:00:00+00:00,3,3,129,15
2024-09-01 00:00:00+00:00,29,8,248,32
2024-09-02 00:00:00+00:00,5,5,235,21
