url_path,views_total,views_unique
/floneum/floneum,1291,691
/floneum/floneum/tree/main/interfaces/kalosm,1219,276
/floneum/floneum/tree/main/interfaces/kalosm/examples,797,130
/floneum/floneum/tree/main/floneum/floneum,395,128
/floneum/floneum/tree/main/interfaces,221,50
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,214,79
/floneum/floneum/tree/main,186,104
/floneum/floneum/issues,184,66
/floneum/floneum/blob/main/interfaces/kalosm/Cargo.toml,154,49
/floneum/floneum/tree/main/models,153,43
