url_path,views_total,views_unique
/floneum/floneum/tree/master/interfaces/kalosm,372,89
/floneum/floneum,262,135
/floneum/floneum/tree/master/floneum/floneum,107,34
/floneum/floneum/tree/master/interfaces/kalosm/examples,70,18
/floneum/floneum/tree/master/interfaces,67,17
/floneum/floneum/tree/master,57,32
/floneum/floneum/tree/master/kalosm,39,16
/floneum/floneum/releases/tag/v0.2.0,37,27
/floneum/floneum/blob/master/interfaces/kalosm/examples/ocr.rs,34,13
/floneum/floneum/tree/master/interfaces/kalosm/src,33,8
