url_path,views_total,views_unique
/floneum/floneum,306,172
/floneum/floneum/tree/main/interfaces/kalosm,283,63
/floneum/floneum/tree/main/interfaces/kalosm/examples,144,19
/floneum/floneum/tree/main/floneum/floneum,102,33
/floneum/floneum/releases/tag/v0.2.0,82,45
/floneum/floneum/blob/main/interfaces/kalosm/examples/chat.rs,48,13
/floneum/floneum/tree/main/models,45,16
/floneum/floneum/issues,44,17
/floneum/floneum/blob/main/interfaces/kalosm/examples/ocr.rs,37,14
/floneum/floneum/tree/main/interfaces,36,13
