time_iso8601,stars_cumulative
2024-02-16 00:00:00+00:00,567
2024-02-17 00:00:00+00:00,568
2024-02-19 00:00:00+00:00,569
2024-02-20 00:00:00+00:00,570
2024-02-21 00:00:00+00:00,572
2024-02-24 00:00:00+00:00,573
2024-02-25 00:00:00+00:00,576
2024-02-26 00:00:00+00:00,579
2024-02-27 00:00:00+00:00,581
2024-02-28 00:00:00+00:00,610
2024-02-29 00:00:00+00:00,630
2024-03-01 00:00:00+00:00,635
2024-03-02 00:00:00+00:00,637
2024-03-03 00:00:00+00:00,639
2024-03-04 00:00:00+00:00,642
2024-03-05 00:00:00+00:00,645
2024-03-06 00:00:00+00:00,647
2024-03-07 00:00:00+00:00,650
2024-03-08 00:00:00+00:00,652
2024-03-10 00:00:00+00:00,702
2024-03-11 00:00:00+00:00,741
2024-03-12 00:00:00+00:00,760
2024-03-13 00:00:00+00:00,780
2024-03-14 00:00:00+00:00,795
2024-03-15 00:00:00+00:00,810
2024-03-16 00:00:00+00:00,816
2024-03-17 00:00:00+00:00,828
2024-03-18 00:00:00+00:00,840
2024-03-19 00:00:00+00:00,845
2024-03-20 00:00:00+00:00,847
2024-03-21 00:00:00+00:00,849
2024-03-22 00:00:00+00:00,857
2024-03-23 00:00:00+00:00,859
2024-03-24 00:00:00+00:00,863
2024-03-25 00:00:00+00:00,868
2024-03-26 00:00:00+00:00,874
2024-03-27 00:00:00+00:00,876
2024-03-28 00:00:00+00:00,885
2024-03-29 00:00:00+00:00,892
2024-03-30 00:00:00+00:00,896
2024-03-31 00:00:00+00:00,899
2024-04-01 00:00:00+00:00,902
2024-04-02 00:00:00+00:00,909
2024-04-03 00:00:00+00:00,913
2024-04-05 00:00:00+00:00,919
2024-04-06 00:00:00+00:00,923
2024-04-08 00:00:00+00:00,927
2024-04-09 00:00:00+00:00,929
2024-04-10 00:00:00+00:00,934
2024-04-11 00:00:00+00:00,935
2024-04-12 00:00:00+00:00,936
2024-04-13 00:00:00+00:00,938
